"Step","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup10_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup5_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.3_5e-5_0_ln_0_0_cosine_warmup_no_bn_default_False_gd_warmup1_FINAL - train_loss__MAX","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MIN","r50_imagenet_sgd_0.5_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MAX","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MIN","r50_imagenet_sgd_eg_split_bias_0.4_5e-5_0_lognormal_0_0_cosine_no_bn_default_False_labels_FINAL - train_loss__MAX"
"0","9.182772636413574","9.182772636413574","9.182772636413574","9.106388092041016","9.106388092041016","9.106388092041016","8.85448169708252","8.85448169708252","8.85448169708252","8.918310165405273","8.918310165405273","8.918310165405273","9.016952514648438","9.016952514648438","9.016952514648438"
"16","7.642523288726807","7.642523288726807","7.642523288726807","7.659991264343262","7.659991264343262","7.659991264343262","7.669921875","7.669921875","7.669921875","9.160309791564941","9.160309791564941","9.160309791564941","7.289525985717773","7.289525985717773","7.289525985717773"
"21","7.292995452880859","7.292995452880859","7.292995452880859","7.342045307159424","7.342045307159424","7.342045307159424","7.304948806762695","7.304948806762695","7.304948806762695","8.047635078430176","8.047635078430176","8.047635078430176","7.27274751663208","7.27274751663208","7.27274751663208"
"48","7.039032936096191","7.039032936096191","7.039032936096191","7.2747626304626465","7.2747626304626465","7.2747626304626465","7.2450852394104","7.2450852394104","7.2450852394104","7.087759971618652","7.087759971618652","7.087759971618652","7.140970230102539","7.140970230102539","7.140970230102539"
"58","7.054344654083252","7.054344654083252","7.054344654083252","7.234920978546143","7.234920978546143","7.234920978546143","7.178999423980713","7.178999423980713","7.178999423980713","7.070755481719971","7.070755481719971","7.070755481719971","7.170522212982178","7.170522212982178","7.170522212982178"
"59","7.208357334136963","7.208357334136963","7.208357334136963","7.051457405090332","7.051457405090332","7.051457405090332","7.082698345184326","7.082698345184326","7.082698345184326","6.960920810699463","6.960920810699463","6.960920810699463","7.1228108406066895","7.1228108406066895","7.1228108406066895"
"72","7.336304187774658","7.336304187774658","7.336304187774658","7.047723293304443","7.047723293304443","7.047723293304443","7.034301280975342","7.034301280975342","7.034301280975342","7.036696910858154","7.036696910858154","7.036696910858154","7.111299991607666","7.111299991607666","7.111299991607666"
"77","7.116533279418945","7.116533279418945","7.116533279418945","7.003069877624512","7.003069877624512","7.003069877624512","7.278615951538086","7.278615951538086","7.278615951538086","7.014767646789551","7.014767646789551","7.014767646789551","7.001416206359863","7.001416206359863","7.001416206359863"
"102","6.942668437957764","6.942668437957764","6.942668437957764","7.067643165588379","7.067643165588379","7.067643165588379","6.993121147155762","6.993121147155762","6.993121147155762","6.920281410217285","6.920281410217285","6.920281410217285","7.034649848937988","7.034649848937988","7.034649848937988"
"118","7.095128536224365","7.095128536224365","7.095128536224365","7.066664218902588","7.066664218902588","7.066664218902588","7.000231742858887","7.000231742858887","7.000231742858887","6.915319442749023","6.915319442749023","6.915319442749023","6.943811416625977","6.943811416625977","6.943811416625977"
"148","6.93328857421875","6.93328857421875","6.93328857421875","7.08350944519043","7.08350944519043","7.08350944519043","6.959286689758301","6.959286689758301","6.959286689758301","6.9087233543396","6.9087233543396","6.9087233543396","6.968420028686523","6.968420028686523","6.968420028686523"
"150","6.956934452056885","6.956934452056885","6.956934452056885","7.008637428283691","7.008637428283691","7.008637428283691","6.985809326171875","6.985809326171875","6.985809326171875","6.909785270690918","6.909785270690918","6.909785270690918","6.8750457763671875","6.8750457763671875","6.8750457763671875"
"153","6.857308864593506","6.857308864593506","6.857308864593506","6.995791912078857","6.995791912078857","6.995791912078857","6.928503036499023","6.928503036499023","6.928503036499023","6.906432151794434","6.906432151794434","6.906432151794434","6.8646039962768555","6.8646039962768555","6.8646039962768555"
"154","6.955633640289307","6.955633640289307","6.955633640289307","6.979343891143799","6.979343891143799","6.979343891143799","6.925162315368652","6.925162315368652","6.925162315368652","6.909576416015625","6.909576416015625","6.909576416015625","6.868103981018066","6.868103981018066","6.868103981018066"
"162","6.911260604858398","6.911260604858398","6.911260604858398","6.931478977203369","6.931478977203369","6.931478977203369","7.02077054977417","7.02077054977417","7.02077054977417","6.904304027557373","6.904304027557373","6.904304027557373","6.923720359802246","6.923720359802246","6.923720359802246"
